,category,label,year,sales
614,3RM,Bishan-3RM,2009,380000
615,4RM,Bishan-4RM,2009,550000
616,5RM,Bishan-5RM,2009,728888
617,EXE,Bishan-EXE,2009,868000
618,3RM,Bukit Batok-3RM,2009,252000
619,4RM,Bukit Batok-4RM,2009,362000
620,5RM,Bukit Batok-5RM,2009,518000
621,EXE,Bukit Batok-EXE,2009,601000
622,3RM,Bukit Merah-3RM,2009,315000
623,4RM,Bukit Merah-4RM,2009,680000
624,5RM,Bukit Merah-5RM,2009,790000
625,3RM,Bukit Panjang-3RM,2009,302000
626,4RM,Bukit Panjang-4RM,2009,388000
627,5RM,Bukit Panjang-5RM,2009,470000
628,EXE,Bukit Panjang-EXE,2009,588000
629,3RM,Bukit Timah-3RM,2009,426250
630,4RM,Bukit Timah-4RM,2009,654444
631,5RM,Bukit Timah-5RM,2009,811500
632,EXE,Bukit Timah-EXE,2009,970000
633,3RM,Central Area-3RM,2009,405000
634,4RM,Central Area-4RM,2009,667500
635,5RM,Central Area-5RM,2009,1000000
636,3RM,Choa Chu Kang-3RM,2009,280000
637,4RM,Choa Chu Kang-4RM,2009,335000
638,5RM,Choa Chu Kang-5RM,2009,405000
639,EXE,Choa Chu Kang-EXE,2009,538000
640,3RM,Clementi-3RM,2009,300000
641,4RM,Clementi-4RM,2009,500000
642,5RM,Clementi-5RM,2009,688000
643,EXE,Clementi-EXE,2009,807500
644,3RM,Geylang-3RM,2009,260000
645,4RM,Geylang-4RM,2009,473000
646,5RM,Geylang-5RM,2009,655000
647,EXE,Geylang-EXE,2009,695000
648,3RM,Hougang-3RM,2009,275000
649,4RM,Hougang-4RM,2009,380000
650,5RM,Hougang-5RM,2009,489000
651,EXE,Hougang-EXE,2009,669000
652,3RM,Jurong East-3RM,2009,268000
653,4RM,Jurong East-4RM,2009,383000
654,5RM,Jurong East-5RM,2009,516000
655,EXE,Jurong East-EXE,2009,617000
656,3RM,Jurong West-3RM,2009,254000
657,4RM,Jurong West-4RM,2009,358000
658,5RM,Jurong West-5RM,2009,438000
659,EXE,Jurong West-EXE,2009,535000
660,3RM,Kallang/Whampoa-3RM,2009,320000
661,4RM,Kallang/Whampoa-4RM,2009,536000
662,5RM,Kallang/Whampoa-5RM,2009,695000
663,EXE,Kallang/Whampoa-EXE,2009,785000
664,3RM,Marine Parade-3RM,2009,350000
665,4RM,Marine Parade-4RM,2009,489000
666,5RM,Marine Parade-5RM,2009,804000
667,3RM,Pasir Ris-3RM,2009,370000
668,4RM,Pasir Ris-4RM,2009,410000
669,5RM,Pasir Ris-5RM,2009,482500
670,EXE,Pasir Ris-EXE,2009,623500
671,3RM,Punggol-3RM,2009,358000
672,4RM,Punggol-4RM,2009,460000
673,5RM,Punggol-5RM,2009,465000
674,EXE,Punggol-EXE,2009,548000
675,3RM,Queenstown-3RM,2009,315000
676,4RM,Queenstown-4RM,2009,720000
677,5RM,Queenstown-5RM,2009,810000
678,EXE,Queenstown-EXE,2009,1065000
679,3RM,Sembawang-3RM,2009,292000
680,4RM,Sembawang-4RM,2009,342500
681,5RM,Sembawang-5RM,2009,395000
682,EXE,Sembawang-EXE,2009,470000
683,3RM,Sengkang-3RM,2009,343444
684,4RM,Sengkang-4RM,2009,425000
685,5RM,Sengkang-5RM,2009,470000
686,EXE,Sengkang-EXE,2009,566500
687,3RM,Serangoon-3RM,2009,305000
688,4RM,Serangoon-4RM,2009,438000
689,5RM,Serangoon-5RM,2009,547500
690,EXE,Serangoon-EXE,2009,700000
691,3RM,Tampines-3RM,2009,325000
692,4RM,Tampines-4RM,2009,428000
693,5RM,Tampines-5RM,2009,525000
694,EXE,Tampines-EXE,2009,665000
695,3RM,Toa Payoh-3RM,2009,250000
696,4RM,Toa Payoh-4RM,2009,550000
697,5RM,Toa Payoh-5RM,2009,780000
698,EXE,Toa Payoh-EXE,2009,718000
699,3RM,Woodlands-3RM,2009,255000
700,4RM,Woodlands-4RM,2009,330000
701,5RM,Woodlands-5RM,2009,400000
702,EXE,Woodlands-EXE,2009,565000
703,3RM,Yishun-3RM,2009,265000
704,4RM,Yishun-4RM,2009,360000
705,5RM,Yishun-5RM,2009,475000
706,EXE,Yishun-EXE,2009,549999
707,3RM,Ang Mo Kio-3RM,2010,275000
708,4RM,Ang Mo Kio-4RM,2010,405000
709,5RM,Ang Mo Kio-5RM,2010,605000
710,EXE,Ang Mo Kio-EXE,2010,792500
711,3RM,Bedok-3RM,2010,275000
712,4RM,Bedok-4RM,2010,388000
713,5RM,Bedok-5RM,2010,560000
714,EXE,Bedok-EXE,2010,720000
715,3RM,Bishan-3RM,2010,363000
716,4RM,Bishan-4RM,2010,533500
717,5RM,Bishan-5RM,2010,735000
718,EXE,Bishan-EXE,2010,875000
719,3RM,Bukit Batok-3RM,2010,260000
720,4RM,Bukit Batok-4RM,2010,355000
721,5RM,Bukit Batok-5RM,2010,527500
722,EXE,Bukit Batok-EXE,2010,590000
723,3RM,Bukit Merah-3RM,2010,320000
724,4RM,Bukit Merah-4RM,2010,668000
725,5RM,Bukit Merah-5RM,2010,782000
726,3RM,Bukit Panjang-3RM,2010,310000
727,4RM,Bukit Panjang-4RM,2010,415000
728,5RM,Bukit Panjang-5RM,2010,506944
729,EXE,Bukit Panjang-EXE,2010,587500
730,3RM,Bukit Timah-3RM,2010,400000
731,4RM,Bukit Timah-4RM,2010,620000
732,5RM,Bukit Timah-5RM,2010,850000
733,EXE,Bukit Timah-EXE,2010,970000
734,3RM,Central Area-3RM,2010,406944
735,4RM,Central Area-4RM,2010,600000
736,5RM,Central Area-5RM,2010,1040094
737,3RM,Choa Chu Kang-3RM,2010,301000
738,4RM,Choa Chu Kang-4RM,2010,352000
739,5RM,Choa Chu Kang-5RM,2010,425000
740,EXE,Choa Chu Kang-EXE,2010,532500
741,3RM,Clementi-3RM,2010,300000
742,4RM,Clementi-4RM,2010,521500
743,5RM,Clementi-5RM,2010,780000
744,EXE,Clementi-EXE,2010,755000
745,3RM,Geylang-3RM,2010,245000
746,4RM,Geylang-4RM,2010,480000
747,5RM,Geylang-5RM,2010,656500
748,EXE,Geylang-EXE,2010,739444
749,3RM,Hougang-3RM,2010,284000
750,4RM,Hougang-4RM,2010,396000
751,5RM,Hougang-5RM,2010,522500
752,EXE,Hougang-EXE,2010,665000
753,3RM,Jurong East-3RM,2010,275000
754,4RM,Jurong East-4RM,2010,380000
755,5RM,Jurong East-5RM,2010,480000
756,EXE,Jurong East-EXE,2010,625000
757,3RM,Jurong West-3RM,2010,260000
758,4RM,Jurong West-4RM,2010,355000
759,5RM,Jurong West-5RM,2010,440000
760,EXE,Jurong West-EXE,2010,545000
761,3RM,Kallang/Whampoa-3RM,2010,289000
762,4RM,Kallang/Whampoa-4RM,2010,515000
763,5RM,Kallang/Whampoa-5RM,2010,680000
764,EXE,Kallang/Whampoa-EXE,2010,730000
765,3RM,Marine Parade-3RM,2010,355000
766,4RM,Marine Parade-4RM,2010,480000
767,5RM,Marine Parade-5RM,2010,764000
768,3RM,Pasir Ris-3RM,2010,380000
769,4RM,Pasir Ris-4RM,2010,428944
770,5RM,Pasir Ris-5RM,2010,495000
771,EXE,Pasir Ris-EXE,2010,600000
772,3RM,Punggol-3RM,2010,360000
773,4RM,Punggol-4RM,2010,465000
774,5RM,Punggol-5RM,2010,495000
775,EXE,Punggol-EXE,2010,527500
776,3RM,Queenstown-3RM,2010,308000
777,4RM,Queenstown-4RM,2010,759500
778,5RM,Queenstown-5RM,2010,850000
779,EXE,Queenstown-EXE,2010,1000000
780,3RM,Sembawang-3RM,2010,300000
781,4RM,Sembawang-4RM,2010,355000
782,5RM,Sembawang-5RM,2010,406888
783,EXE,Sembawang-EXE,2010,480000
784,3RM,Sengkang-3RM,2010,342500
785,4RM,Sengkang-4RM,2010,428000
786,5RM,Sengkang-5RM,2010,480000
787,EXE,Sengkang-EXE,2010,565000
788,3RM,Serangoon-3RM,2010,311500
789,4RM,Serangoon-4RM,2010,434000
790,5RM,Serangoon-5RM,2010,537500
791,EXE,Serangoon-EXE,2010,704000
792,3RM,Tampines-3RM,2010,325000
793,4RM,Tampines-4RM,2010,428000
794,5RM,Tampines-5RM,2010,530000
795,EXE,Tampines-EXE,2010,682000
796,3RM,Toa Payoh-3RM,2010,250000
797,4RM,Toa Payoh-4RM,2010,552500
798,5RM,Toa Payoh-5RM,2010,696500
799,EXE,Toa Payoh-EXE,2010,791000
800,3RM,Woodlands-3RM,2010,255000
801,4RM,Woodlands-4RM,2010,342000
802,5RM,Woodlands-5RM,2010,410444
803,EXE,Woodlands-EXE,2010,580000
804,3RM,Yishun-3RM,2010,273400
805,4RM,Yishun-4RM,2010,365000
806,5RM,Yishun-5RM,2010,480000
807,EXE,Yishun-EXE,2010,575000
