,category,label,year,sales
122,5RM,Bukit Panjang-5RM,2004,471500
123,EXE,Bukit Panjang-EXE,2004,587500
124,3RM,Bukit Timah-3RM,2004,437500
125,4RM,Bukit Timah-4RM,2004,667500
126,5RM,Bukit Timah-5RM,2004,833000
127,EXE,Bukit Timah-EXE,2004,912500
128,3RM,Central Area-3RM,2004,426500
129,4RM,Central Area-4RM,2004,601944
130,5RM,Central Area-5RM,2004,640000
131,3RM,Choa Chu Kang-3RM,2004,305000
132,4RM,Choa Chu Kang-4RM,2004,388800
133,5RM,Choa Chu Kang-5RM,2004,470000
134,EXE,Choa Chu Kang-EXE,2004,578444
135,3RM,Clementi-3RM,2004,350500
136,4RM,Clementi-4RM,2004,512500
137,5RM,Clementi-5RM,2004,680888
138,EXE,Clementi-EXE,2004,837694
139,3RM,Geylang-3RM,2004,305000
140,4RM,Geylang-4RM,2004,457500
141,5RM,Geylang-5RM,2004,680000
142,EXE,Geylang-EXE,2004,770000
143,3RM,Hougang-3RM,2004,324500
144,4RM,Hougang-4RM,2004,420000
145,5RM,Hougang-5RM,2004,518888
146,EXE,Hougang-EXE,2004,680000
147,3RM,Jurong East-3RM,2004,320000
148,4RM,Jurong East-4RM,2004,430000
149,5RM,Jurong East-5RM,2004,526750
150,EXE,Jurong East-EXE,2004,650000
151,3RM,Jurong West-3RM,2004,305000
152,4RM,Jurong West-4RM,2004,400000
153,5RM,Jurong West-5RM,2004,475000
154,EXE,Jurong West-EXE,2004,571000
155,3RM,Kallang/Whampoa-3RM,2004,345000
156,4RM,Kallang/Whampoa-4RM,2004,532500
157,5RM,Kallang/Whampoa-5RM,2004,669000
158,EXE,Kallang/Whampoa-EXE,2004,750000
159,3RM,Marine Parade-3RM,2004,415000
160,4RM,Marine Parade-4RM,2004,540000
161,5RM,Marine Parade-5RM,2004,807500
162,3RM,Pasir Ris-3RM,2004,300000
163,4RM,Pasir Ris-4RM,2004,428000
164,5RM,Pasir Ris-5RM,2004,503000
165,EXE,Pasir Ris-EXE,2004,630000
166,3RM,Punggol-3RM,2004,0
167,4RM,Punggol-4RM,2004,445000
168,5RM,Punggol-5RM,2004,490000
169,EXE,Punggol-EXE,2004,590000
170,3RM,Queenstown-3RM,2004,365000
171,4RM,Queenstown-4RM,2004,685000
172,5RM,Queenstown-5RM,2004,850000
173,EXE,Queenstown-EXE,2004,930000
174,3RM,Sembawang-3RM,2004,0
175,4RM,Sembawang-4RM,2004,392000
176,5RM,Sembawang-5RM,2004,452000
177,EXE,Sembawang-EXE,2004,534800
178,3RM,Sengkang-3RM,2004,380000
179,4RM,Sengkang-4RM,2004,440000
180,5RM,Sengkang-5RM,2004,485000
181,EXE,Sengkang-EXE,2004,595000
182,3RM,Serangoon-3RM,2004,355000
183,4RM,Serangoon-4RM,2004,460000
184,5RM,Serangoon-5RM,2004,535000
185,EXE,Serangoon-EXE,2004,690000
186,3RM,Tampines-3RM,2004,350000
187,4RM,Tampines-4RM,2004,448444
188,5RM,Tampines-5RM,2004,541000
189,EXE,Tampines-EXE,2004,684444
190,3RM,Toa Payoh-3RM,2004,335000
191,4RM,Toa Payoh-4RM,2004,555000
192,5RM,Toa Payoh-5RM,2004,697500
193,EXE,Toa Payoh-EXE,2004,793000
194,3RM,Woodlands-3RM,2004,300000
195,4RM,Woodlands-4RM,2004,380000
196,5RM,Woodlands-5RM,2004,445000
197,EXE,Woodlands-EXE,2004,600000
198,3RM,Yishun-3RM,2004,308000
199,4RM,Yishun-4RM,2004,373000
200,5RM,Yishun-5RM,2004,475000
201,EXE,Yishun-EXE,2004,571000
202,3RM,Ang Mo Kio-3RM,2005,320000
203,4RM,Ang Mo Kio-4RM,2005,457750
204,5RM,Ang Mo Kio-5RM,2005,639988
205,EXE,Ang Mo Kio-EXE,2005,810000
206,3RM,Bedok-3RM,2005,305000
207,4RM,Bedok-4RM,2005,410000
208,5RM,Bedok-5RM,2005,568000
209,EXE,Bedok-EXE,2005,695000
210,3RM,Bishan-3RM,2005,390000
211,4RM,Bishan-4RM,2005,530000
212,5RM,Bishan-5RM,2005,720944
213,EXE,Bishan-EXE,2005,875000
214,3RM,Bukit Batok-3RM,2005,287500
215,4RM,Bukit Batok-4RM,2005,408000
216,5RM,Bukit Batok-5RM,2005,550000
217,EXE,Bukit Batok-EXE,2005,610000
218,3RM,Bukit Merah-3RM,2005,372000
219,4RM,Bukit Merah-4RM,2005,625000
220,5RM,Bukit Merah-5RM,2005,768000
221,3RM,Bukit Panjang-3RM,2005,290000
222,4RM,Bukit Panjang-4RM,2005,360000
223,5RM,Bukit Panjang-5RM,2005,450000
224,EXE,Bukit Panjang-EXE,2005,572944
225,3RM,Bukit Timah-3RM,2005,390000
226,4RM,Bukit Timah-4RM,2005,644000
227,5RM,Bukit Timah-5RM,2005,819000
228,EXE,Bukit Timah-EXE,2005,949000
229,3RM,Central Area-3RM,2005,434000
230,4RM,Central Area-4RM,2005,842500
231,5RM,Central Area-5RM,2005,962500
232,3RM,Choa Chu Kang-3RM,2005,290000
233,4RM,Choa Chu Kang-4RM,2005,355000
234,5RM,Choa Chu Kang-5RM,2005,425000
235,EXE,Choa Chu Kang-EXE,2005,565000
236,3RM,Clementi-3RM,2005,340000
237,4RM,Clementi-4RM,2005,520000
238,5RM,Clementi-5RM,2005,675000
239,EXE,Clementi-EXE,2005,860000
240,3RM,Geylang-3RM,2005,290000
241,4RM,Geylang-4RM,2005,485000
242,5RM,Geylang-5RM,2005,621000
243,EXE,Geylang-EXE,2005,712000
244,3RM,Hougang-3RM,2005,305000
245,4RM,Hougang-4RM,2005,398000
246,5RM,Hougang-5RM,2005,492000
247,EXE,Hougang-EXE,2005,656000
248,3RM,Jurong East-3RM,2005,305000
249,4RM,Jurong East-4RM,2005,410000
250,5RM,Jurong East-5RM,2005,545000
251,EXE,Jurong East-EXE,2005,679000
252,3RM,Jurong West-3RM,2005,285000
253,4RM,Jurong West-4RM,2005,375000
254,5RM,Jurong West-5RM,2005,454000
255,EXE,Jurong West-EXE,2005,558000
256,3RM,Kallang/Whampoa-3RM,2005,336000
257,4RM,Kallang/Whampoa-4RM,2005,535000
258,5RM,Kallang/Whampoa-5RM,2005,691500
259,EXE,Kallang/Whampoa-EXE,2005,740000
260,3RM,Marine Parade-3RM,2005,410000
261,4RM,Marine Parade-4RM,2005,545000
262,5RM,Marine Parade-5RM,2005,800000
263,3RM,Pasir Ris-3RM,2005,280000
264,4RM,Pasir Ris-4RM,2005,403000
265,5RM,Pasir Ris-5RM,2005,470000
266,EXE,Pasir Ris-EXE,2005,600000
267,3RM,Punggol-3RM,2005,362500
268,4RM,Punggol-4RM,2005,420000
269,5RM,Punggol-5RM,2005,450000
270,EXE,Punggol-EXE,2005,550000
271,3RM,Queenstown-3RM,2005,365000
272,4RM,Queenstown-4RM,2005,670000
273,5RM,Queenstown-5RM,2005,841500
274,EXE,Queenstown-EXE,2005,899444
275,3RM,Sembawang-3RM,2005,0
276,4RM,Sembawang-4RM,2005,370000
277,5RM,Sembawang-5RM,2005,420000
278,EXE,Sembawang-EXE,2005,498000
279,3RM,Sengkang-3RM,2005,360000
280,4RM,Sengkang-4RM,2005,410000
281,5RM,Sengkang-5RM,2005,459750
